SPY (SPDR S&P 500 ETF Trust),310.68,1.98
Jun 22 2020 @ 20:42 ET,Bid,0,Ask,0,Size,0x0,Vol,74649389
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
06/22/2020,SPY200622C00150000,161.88,0,161.05,161.82,0,0.02,1,0,1,150.000,SPY200622P00150000,0.01,0,0,0.01,0,24.001,-0.0003,0,113
06/22/2020,SPY200622C00155000,0,0,156.05,156.82,0,0.02,1,0.0001,0,155.000,SPY200622P00155000,0.01,0,0,0.01,0,22.001,-0.0002,0,32
06/22/2020,SPY200622C00160000,0,0,151.05,151.82,0,0.02,1,0,0,160.000,SPY200622P00160000,0.01,0,0,0.01,0,22.001,-0.0004,0,124
06/22/2020,SPY200622C00165000,0,0,146.05,146.82,0,0.02,1,0,0,165.000,SPY200622P00165000,0.01,0,0,0.01,0,20.001,-0.0002,0,296
06/22/2020,SPY200622C00170000,0,0,141.05,141.82,0,0.02,1,0.0001,0,170.000,SPY200622P00170000,0.01,0,0,0.01,0,20.001,-0.0004,0,17
06/22/2020,SPY200622C00175000,136.9,0,136.05,136.82,0,0.02,0.9996,0,1,175.000,SPY200622P00175000,0.01,0,0,0.01,0,18.001,-0.0002,0,214
06/22/2020,SPY200622C00180000,0,0,131.05,131.82,0,0.02,0.9996,0,0,180.000,SPY200622P00180000,0.01,0,0,0.01,0,18.001,-0.0004,0,608
06/22/2020,SPY200622C00185000,0,0,126.05,126.82,0,0.02,0.9979,0.0001,0,185.000,SPY200622P00185000,0.01,0,0,0.01,0,16.7733,-0.0003,0,6572
06/22/2020,SPY200622C00190000,0,0,121.05,121.82,0,0.02,1,0,0,190.000,SPY200622P00190000,0.01,0,0,0.01,0,16.001,-0.0003,0,115
06/22/2020,SPY200622C00195000,0,0,116.05,116.82,0,0.02,0.9978,0.0001,0,195.000,SPY200622P00195000,0.01,0,0,0.01,0,15.001,-0.0003,0,989
06/22/2020,SPY200622C00200000,108.79,-1.305,111.05,111.82,1,0.02,1,0.0001,1,200.000,SPY200622P00200000,0.01,0,0,0.01,0,14.001,-0.0003,0,1116
06/22/2020,SPY200622C00205000,0,0,106.05,106.82,0,0.02,1,0.0001,0,205.000,SPY200622P00205000,0.01,0,0,0.01,0,14.001,-0.0005,0,805
06/22/2020,SPY200622C00210000,0,0,101.05,101.82,0,0.02,0.9976,0.0002,0,210.000,SPY200622P00210000,0.01,0,0,0.01,0,12.7419,-0.0003,0,1181
06/22/2020,SPY200622C00215000,0,0,96.05,96.82,0,0.02,1,0.0001,0,215.000,SPY200622P00215000,0.01,0,0,0.01,0,12.001,-0.0004,0,272
06/22/2020,SPY200622C00220000,0,0,91.05,91.82,0,0.02,1,0.0001,0,220.000,SPY200622P00220000,0.01,0,0,0.01,0,12.001,-0.0007,0.0001,1992
06/22/2020,SPY200622C00225000,0,0,86.05,86.82,0,0.02,0.961,0.0014,0,225.000,SPY200622P00225000,0.01,0,0,0.01,0,10.5381,-0.0004,0,1394
06/22/2020,SPY200622C00230000,0,0,81.05,81.82,0,0.02,0.9618,0.0015,0,230.000,SPY200622P00230000,0.01,0,0,0.01,0,10.001,-0.0005,0.0001,549
06/22/2020,SPY200622C00235000,0,0,76.05,76.82,0,0.02,0.9626,0.0016,0,235.000,SPY200622P00235000,0.01,0,0,0.01,0,9.501,-0.0006,0.0001,1247
06/22/2020,SPY200622C00240000,73.39,0,71.05,71.82,0,0.02,0.9632,0.0017,1,240.000,SPY200622P00240000,0.01,0,0,0.01,0,9.1595,-0.0009,0.0001,1366
06/22/2020,SPY200622C00245000,0,0,66.05,66.82,0,0.02,0.9639,0.0018,0,245.000,SPY200622P00245000,0.01,0,0,0.01,0,8.001,-0.0005,0.0001,1380
06/22/2020,SPY200622C00250000,61.05,0,61.06,61.81,0,0.02,0.9645,0.002,0,250.000,SPY200622P00250000,0.01,0,0,0.01,0,7.501,-0.0007,0.0001,3033
06/22/2020,SPY200622C00255000,45.47,0,56.06,56.81,0,0.02,0.965,0.0022,0,255.000,SPY200622P00255000,0.01,0,0,0.01,0,6.7957,-0.0007,0.0001,2282
06/22/2020,SPY200622C00260000,50.52,0.4,51.06,51.81,1,0.02,0.9654,0.0024,11,260.000,SPY200622P00260000,0.01,0.005,0,0.01,20,6.099,-0.0007,0.0001,2663
06/22/2020,SPY200622C00265000,42.57,0,46.06,46.81,0,0.02,0.9657,0.0027,15,265.000,SPY200622P00265000,0.01,-0.005,0,0.01,10,5.501,-0.0007,0.0002,2533
06/22/2020,SPY200622C00266000,45.34,0,45.06,45.81,0,0.02,0.9658,0.0027,0,266.000,SPY200622P00266000,0.01,0,0,0.01,0,5.4492,-0.0009,0.0002,1001
06/22/2020,SPY200622C00267000,45.99,0,44.06,44.81,0,0.02,0.9658,0.0028,0,267.000,SPY200622P00267000,0.03,0,0,0.01,0,5.3568,-0.0009,0.0002,807
06/22/2020,SPY200622C00268000,43.28,0,43.06,43.81,0,0.02,0.9658,0.0029,0,268.000,SPY200622P00268000,0.03,0,0,0.01,0,5.2844,-0.001,0.0002,694
06/22/2020,SPY200622C00269000,39.19,-1.91,42.06,42.81,3,0.02,0.9659,0.003,0,269.000,SPY200622P00269000,0.03,0,0,0.01,0,5.2272,-0.0012,0.0003,426
06/22/2020,SPY200622C00270000,37.51,-2.655,41.06,41.81,8,0.02,0.9659,0.003,12,270.000,SPY200622P00270000,0.01,-0.005,0,0.01,35,5.1818,-0.0014,0.0003,2903
06/22/2020,SPY200622C00271000,43.2,0,40.06,40.81,0,0.02,0.9659,0.0031,0,271.000,SPY200622P00271000,0.02,0,0,0.01,0,5.1453,-0.0017,0.0004,585
