Date,Open,High,Low,Close,Volume
31.12.2014 17:00:00.000 GMT-0500,2073.873,2073.873,2073.873,2073.873,0
01.01.2015 17:00:00.000 GMT-0500,2064.800,2071.900,2043.600,2053.100,20.7341
02.01.2015 17:00:00.000 GMT-0500,2053.100,2053.100,2053.100,2053.100,0
03.01.2015 17:00:00.000 GMT-0500,2053.100,2053.100,2053.100,2053.100,0
04.01.2015 17:00:00.000 GMT-0500,2053.064,2053.987,2015.356,2024.466,29.578899999999997
05.01.2015 17:00:00.000 GMT-0500,2024.157,2029.369,1990.142,2000.587,30.290799999999997
06.01.2015 17:00:00.000 GMT-0500,2001.040,2029.394,2000.628,2026.977,23.8794
07.01.2015 17:00:00.000 GMT-0500,2026.690,2064.852,2026.064,2059.767,52.288900000000005
08.01.2015 17:00:00.000 GMT-0500,2059.740,2068.596,2037.662,2041.167,76.8764
09.01.2015 17:00:00.000 GMT-0500,2041.167,2041.167,2041.167,2041.167,0
10.01.2015 17:00:00.000 GMT-0500,2041.167,2041.167,2041.167,2041.167,0
11.01.2015 17:00:00.000 GMT-0500,2041.889,2054.487,2022.052,2030.294,49.9712
12.01.2015 17:00:00.000 GMT-0500,2030.358,2058.392,2007.863,2024.484,33.1535
13.01.2015 17:00:00.000 GMT-0500,2024.568,2025.499,1987.053,2016.680,74.5496
14.01.2015 17:00:00.000 GMT-0500,2016.370,2033.200,1989.390,1989.679,51.3676
15.01.2015 17:00:00.000 GMT-0500,1989.468,2020.494,1976.167,2019.192,25.956
16.01.2015 17:00:00.000 GMT-0500,2019.192,2019.192,2019.192,2019.192,0
17.01.2015 17:00:00.000 GMT-0500,2019.192,2019.192,2019.192,2019.192,0
18.01.2015 17:00:00.000 GMT-0500,2019.972,2029.974,2009.492,2014.983,2.3461
19.01.2015 17:00:00.000 GMT-0500,2015.374,2032.494,2003.966,2021.661,5.027799999999999
20.01.2015 17:00:00.000 GMT-0500,2021.974,2038.795,2011.462,2032.682,4.745800000000001
21.01.2015 17:00:00.000 GMT-0500,2032.694,2064.883,2025.393,2063.466,4.6994
22.01.2015 17:00:00.000 GMT-0500,2063.492,2068.092,2048.864,2049.395,7.435399999999999
23.01.2015 17:00:00.000 GMT-0500,2049.395,2049.395,2049.395,2049.395,0
24.01.2015 17:00:00.000 GMT-0500,2049.395,2049.395,2049.395,2049.395,0
25.01.2015 17:00:00.000 GMT-0500,2040.875,2060.999,2031.388,2060.481,6.4192
26.01.2015 17:00:00.000 GMT-0500,2060.670,2060.697,2019.370,2043.686,4.100200000000001
27.01.2015 17:00:00.000 GMT-0500,2042.281,2052.298,1997.260,2000.272,5.3143
28.01.2015 17:00:00.000 GMT-0500,1999.398,2026.165,1988.467,2025.179,5.583600000000001
29.01.2015 17:00:00.000 GMT-0500,2025.498,2026.686,1992.968,1995.786,5.7308
30.01.2015 17:00:00.000 GMT-0500,1995.786,1995.786,1995.786,1995.786,0
31.01.2015 17:00:00.000 GMT-0500,1995.786,1995.786,1995.786,1995.786,0
01.02.2015 17:00:00.000 GMT-0500,1995.797,2024.777,1980.463,2021.992,6.1247
